wert,wert,wert
U,I,P
20,0.106,2.5
40,0.136,6.0
60,0.164,10.5
80,0.191,16.0
100,0.215,22.0
120,0.238,30.0
140,0.25,37.0
160,0.27,46.0
180,0.288,54.0
200,0.305,64.0
220,0.32,74
240,0.335,84
